Date,Daily_New_Cases,Daily_Deaths,Daily_Recovered,Total_Cases,Total_Deaths,Total_Recovered
2020-03-01,375,113,1625,375,113,1625
2020-03-02,2840,40,2882,3215,153,4507
2020-03-03,2389,101,2198,5604,254,6705
2020-03-04,1339,168,1432,6943,422,8137
2020-03-05,225,135,1453,7168,557,9590
2020-03-06,4165,77,869,11333,634,10459
2020-03-07,4412,140,3342,15745,774,13801
2020-03-08,3968,101,869,19713,875,14670
2020-03-09,1308,127,469,21021,1002,15139
2020-03-10,3349,74,173,24370,1076,15312
2020-03-11,1018,173,471,25388,1249,15783
2020-03-12,4023,17,3352,29411,1266,19135
2020-03-13,4503,53,3811,33914,1319,22946
2020-03-14,2069,64,3184,35983,1383,26130
2020-03-15,2893,134,1558,38876,1517,27688
2020-03-16,991,192,3749,39867,1709,31437
2020-03-17,4570,9,3824,44437,1718,35261
2020-03-18,2133,176,1647,46570,1894,36908
2020-03-19,1464,31,817,48034,1925,37725
2020-03-20,228,164,2094,48262,2089,39819
2020-03-21,1114,153,2580,49376,2242,42399
2020-03-22,1899,12,2616,51275,2254,45015
2020-03-23,4712,54,2252,55987,2308,47267
2020-03-24,1618,71,2189,57605,2379,49456
2020-03-25,4281,48,3079,61886,2427,52535
2020-03-26,1298,129,1599,63184,2556,54134
2020-03-27,3973,62,2552,67157,2618,56686
2020-03-28,2574,7,1814,69731,2625,58500
2020-03-29,3585,90,2094,73316,2715,60594
2020-03-30,4149,74,2695,77465,2789,63289
2020-03-31,3819,134,3766,81284,2923,67055
2020-04-01,402,176,559,81686,3099,67614
2020-04-02,4052,6,1256,85738,3105,68870
2020-04-03,4783,106,435,90521,3211,69305
2020-04-04,1086,39,1647,91607,3250,70952
2020-04-05,1963,102,3852,93570,3352,74804
2020-04-06,4540,34,2502,98110,3386,77306
2020-04-07,3172,120,2343,101282,3506,79649
2020-04-08,3224,12,791,104506,3518,80440
2020-04-09,1427,154,3712,105933,3672,84152
2020-04-10,2508,48,2758,108441,3720,86910
2020-04-11,3773,190,2747,112214,3910,89657
2020-04-12,3391,40,3592,115605,3950,93249
2020-04-13,4133,81,3947,119738,4031,97196
2020-04-14,803,35,1961,120541,4066,99157
2020-04-15,674,51,1496,121215,4117,100653
2020-04-16,3332,59,950,124547,4176,101603
2020-04-17,4883,110,2162,129430,4286,103765
2020-04-18,2732,194,3134,132162,4480,106899
2020-04-19,3928,162,2310,136090,4642,109209
2020-04-20,3330,125,2059,139420,4767,111268
2020-04-21,588,59,291,140008,4826,111559
2020-04-22,1447,148,2590,141455,4974,114149
2020-04-23,3781,16,3334,145236,4990,117483
2020-04-24,3273,149,3814,148509,5139,121297
2020-04-25,4689,148,2435,153198,5287,123732
2020-04-26,1767,144,2070,154965,5431,125802
2020-04-27,1737,140,222,156702,5571,126024
2020-04-28,4214,7,721,160916,5578,126745
2020-04-29,3653,148,213,164569,5726,126958
2020-04-30,1100,34,514,165669,5760,127472
2020-05-01,950,27,3092,166619,5787,130564
2020-05-02,1488,96,546,168107,5883,131110
2020-05-03,3812,119,749,171919,6002,131859
2020-05-04,1467,108,2492,173386,6110,134351
2020-05-05,921,122,752,174307,6232,135103
2020-05-06,554,9,1990,174861,6241,137093
2020-05-07,1724,108,2405,176585,6349,139498
2020-05-08,2872,112,1841,179457,6461,141339
2020-05-09,3826,69,232,183283,6530,141571
2020-05-10,3247,125,678,186530,6655,142249
2020-05-11,4189,34,3915,190719,6689,146164
2020-05-12,4906,153,2607,195625,6842,148771
2020-05-13,2290,88,1781,197915,6930,150552
2020-05-14,1016,154,595,198931,7084,151147
2020-05-15,4086,36,1637,203017,7120,152784
2020-05-16,2975,165,673,205992,7285,153457
2020-05-17,1540,20,3885,207532,7305,157342
2020-05-18,4500,42,643,212032,7347,157985
2020-05-19,835,146,793,212867,7493,158778
2020-05-20,3668,40,3348,216535,7533,162126
2020-05-21,3438,155,1818,219973,7688,163944
2020-05-22,3115,118,3854,223088,7806,167798
2020-05-23,2989,70,1509,226077,7876,169307
2020-05-24,1061,109,1998,227138,7985,171305
2020-05-25,3089,89,3543,230227,8074,174848
2020-05-26,3948,6,2651,234175,8080,177499
2020-05-27,1126,197,2118,235301,8277,179617
2020-05-28,3965,79,2651,239266,8356,182268
2020-05-29,2963,71,2494,242229,8427,184762
2020-05-30,2601,184,2722,244830,8611,187484
2020-05-31,2047,194,154,246877,8805,187638
2020-06-01,1277,155,2289,248154,8960,189927
2020-06-02,4860,158,66,253014,9118,189993
2020-06-03,111,59,3241,253125,9177,193234
2020-06-04,4499,10,442,257624,9187,193676
2020-06-05,3464,167,474,261088,9354,194150
2020-06-06,3122,154,2226,264210,9508,196376
2020-06-07,3471,175,3251,267681,9683,199627
2020-06-08,2930,147,621,270611,9830,200248
2020-06-09,142,90,3681,270753,9920,203929
2020-06-10,1043,64,2126,271796,9984,206055
2020-06-11,2490,105,1170,274286,10089,207225
2020-06-12,2645,16,3131,276931,10105,210356
2020-06-13,2511,53,291,279442,10158,210647
2020-06-14,1104,46,3947,280546,10204,214594
2020-06-15,120,170,2329,280666,10374,216923
2020-06-16,506,86,838,281172,10460,217761
2020-06-17,1114,177,3405,282286,10637,221166
2020-06-18,4531,39,764,286817,10676,221930
2020-06-19,1938,162,808,288755,10838,222738
2020-06-20,3288,162,2899,292043,11000,225637
2020-06-21,814,138,825,292857,11138,226462
2020-06-22,4246,71,2823,297103,11209,229285
2020-06-23,3954,84,2297,301057,11293,231582
2020-06-24,4519,11,3042,305576,11304,234624
2020-06-25,4984,184,128,310560,11488,234752
2020-06-26,240,18,3053,310800,11506,237805
2020-06-27,4665,77,3976,315465,11583,241781
2020-06-28,4982,147,905,320447,11730,242686
2020-06-29,1063,153,3294,321510,11883,245980
2020-06-30,472,167,2564,321982,12050,248544
2020-07-01,3735,70,2678,325717,12120,251222
2020-07-02,2641,95,1489,328358,12215,252711
2020-07-03,3710,134,3037,332068,12349,255748
2020-07-04,1792,167,2546,333860,12516,258294
2020-07-05,205,24,2184,334065,12540,260478
2020-07-06,1781,14,2198,335846,12554,262676
2020-07-07,4197,29,1081,340043,12583,263757
2020-07-08,4116,198,894,344159,12781,264651
2020-07-09,2736,29,3321,346895,12810,267972
2020-07-10,2237,58,3626,349132,12868,271598
2020-07-11,3516,37,136,352648,12905,271734
2020-07-12,4545,168,2140,357193,13073,273874
2020-07-13,3630,99,3506,360823,13172,277380
2020-07-14,1386,18,3742,362209,13190,281122
2020-07-15,3279,69,3556,365488,13259,284678
2020-07-16,3754,114,457,369242,13373,285135
2020-07-17,2459,84,3604,371701,13457,288739
2020-07-18,544,58,2761,372245,13515,291500
2020-07-19,135,129,3138,372380,13644,294638
2020-07-20,1575,184,1718,373955,13828,296356
2020-07-21,4057,135,197,378012,13963,296553
2020-07-22,1898,173,2374,379910,14136,298927
2020-07-23,1945,138,281,381855,14274,299208
2020-07-24,1508,29,3947,383363,14303,303155
2020-07-25,1808,145,2000,385171,14448,305155
2020-07-26,3038,121,415,388209,14569,305570
2020-07-27,1400,140,3349,389609,14709,308919
2020-07-28,1343,153,1724,390952,14862,310643
2020-07-29,4076,29,485,395028,14891,311128
2020-07-30,3197,83,448,398225,14974,311576
2020-07-31,4716,72,1284,402941,15046,312860
2020-08-01,109,177,1464,403050,15223,314324
2020-08-02,2525,192,2596,405575,15415,316920
2020-08-03,1760,16,2637,407335,15431,319557
2020-08-04,2731,36,612,410066,15467,320169
2020-08-05,4915,132,3612,414981,15599,323781
2020-08-06,1172,100,2539,416153,15699,326320
2020-08-07,3325,96,1334,419478,15795,327654
2020-08-08,1416,145,822,420894,15940,328476
2020-08-09,4245,35,2447,425139,15975,330923
2020-08-10,3783,82,2087,428922,16057,333010
2020-08-11,3373,24,3473,432295,16081,336483
2020-08-12,245,150,2617,432540,16231,339100
2020-08-13,3140,64,1393,435680,16295,340493
2020-08-14,1562,195,2235,437242,16490,342728
2020-08-15,4776,138,1623,442018,16628,344351
2020-08-16,1684,164,3744,443702,16792,348095
2020-08-17,582,97,1041,444284,16889,349136
2020-08-18,3279,47,2465,447563,16936,351601
2020-08-19,1349,134,3341,448912,17070,354942
2020-08-20,4868,64,3458,453780,17134,358400
2020-08-21,730,155,1296,454510,17289,359696
2020-08-22,761,35,3769,455271,17324,363465
2020-08-23,3603,9,3889,458874,17333,367354
2020-08-24,2952,166,409,461826,17499,367763
2020-08-25,2566,14,970,464392,17513,368733
2020-08-26,1087,93,2426,465479,17606,371159
2020-08-27,1646,134,3059,467125,17740,374218
2020-08-28,749,130,2560,467874,17870,376778
2020-08-29,1068,15,3043,468942,17885,379821
2020-08-30,2737,182,1012,471679,18067,380833
2020-08-31,1200,163,3682,472879,18230,384515
2020-09-01,540,60,1877,473419,18290,386392
2020-09-02,869,87,3503,474288,18377,389895
2020-09-03,1443,141,2933,475731,18518,392828
2020-09-04,4458,103,1663,480189,18621,394491
2020-09-05,3829,153,1690,484018,18774,396181
2020-09-06,4006,77,2266,488024,18851,398447
2020-09-07,1677,160,266,489701,19011,398713
2020-09-08,4108,194,427,493809,19205,399140
2020-09-09,3451,119,168,497260,19324,399308
2020-09-10,4895,11,239,502155,19335,399547
2020-09-11,2449,84,2864,504604,19419,402411
2020-09-12,3702,148,419,508306,19567,402830
2020-09-13,1341,101,1851,509647,19668,404681
2020-09-14,1225,8,2246,510872,19676,406927
2020-09-15,2701,8,3797,513573,19684,410724
2020-09-16,1290,107,701,514863,19791,411425
